Anyone can do that.	任何人都可以做到。
We hope you will enjoy the show.	我們希望你喜歡這個表演。
She kept on working.	她繼續工作。
Tom was afraid to ask for help.	湯姆不敢求助。
I'm not a student.	我不是學生。
Let's take advantage of the long weekend.	來好好利用大週末吧。
Plastics have taken the place of many conventional materials.	塑料代替了許多傳統的原料。
His job is driving a sight-seeing bus.	他的工作是駕駛觀光巴士。
Thousands of foreigners visit Japan every year.	每年有成千上萬的外國人訪問日本。
I'm sorry to bother you.	對不起打擾你了。
The typhoon caused the river to flood.	颱風造成了河水氾濫。
I gave up all hope of survival.	我放棄了所有生存的希望。
I wanted to ask Tom how long he had lived in India.	我想問湯姆他在印度生活了多久。
We watched the children play.	我們看着這孩子玩耍。
Tom watched Mary draw a picture.	湯姆看瑪麗畫一幅畫。
Tom is boring.	湯姆是個無聊的人。
I'm sorry to cause you all this trouble.	我很抱歉給你惹來所有的這些麻煩。
He and I were inseparable friends during our time together in school.	我和他在學生時代是分不開的朋友。
He can do it better than I can.	他有能力比我做得更好。
He often laughs at his own jokes.	他常常因他自己的笑話而笑。
I am blessed with good health.	上帝賜予我健康的身體。
She asked him to mail that letter.	她請他寄那封信。
Can you put some suntan lotion on my back?	你能在我的背上塗些防曬霜嗎？
I didn't want this to happen.	我不想這種事發生。
They made us work all day long.	他們讓我們工作了一整天。
I can't understand this at all.	我一點也不懂這個。
There are 50 members in the club.	這個俱樂部有50位成員。
Could you please repeat that?	你能重複一遍嗎？
Don't you miss anything?	難不成你漏了什麼了？
How long did that take?	那持續了多久了？
It was very hot this afternoon.	今天下午非常炎熱。
Don't be disappointed.	不要失望。
I take a walk every day except when it rains.	除了雨天我每天都散步。
I saw him run away.	我看見他逃跑了。
We must take into account the fact that he is young.	我們必須考慮到他很年輕。
I watch my weight very carefully.	我非常注意我的體重。
Your manners aren't very good.	你的禮貌不是很好。
Whether he comes or not, I'll go.	不論他來或不來，我都會去。
I use Twitter.	我用Twitter。
She always believes me.	她一直都相信我。
We had an earthquake last night.	昨晚我們這裡發生了地震。
A fire broke out at the inn where they were staying.	火警發生在他們住的旅館。
Don't touch my camera.	不要碰我的相機。
You'd better hurry.	你最好快點。
I think I understand.	我想我懂了。
Please tell me where to go next.	請告訴我下一步去哪裡。
She had already gone when I arrived.	當我到的時候，她已經走了。
He's very angry.	他非常生氣。
To make matters worse, he isn't even conscious of annoying his neighbors.	讓事情更糟糕的是，他沒有注意到他打擾到了鄰居。
I tried to stop that from happening.	我試着阻止它發生。
They were always making jokes.	他們一直鬧笑話。
My roommate is learning Chinese.	我的室友在學中文。
Are you coming next week?	你下週來嗎？
There is a castle in the background of the picture.	圖片的背景是一座城堡。
Do you believe in ghosts?	你相信有幽靈嗎？
I'm really glad you're here.	你能來我真高興。
He looked in all directions, but didn't see anyone.	他看了看四周，但沒看見任何人。
He skis in Hokkaido every winter.	他每年冬天在北海道滑雪。
Many people were waiting in line.	許多人在排隊等候。
What movies are playing this week?	這周放什麼電影？
Don't you have to work?	你不用工作嗎
Time for dinner.	吃飯時間到了。
I'm not satisfied with my English ability.	我不滿意我的英語能力。
Don't pay any attention to what your father says.	別在意你父親說的話。
Tom has recently become forgetful.	Tom最近變得健忘了。
You don't get up as early as your sister, do you?	你比你妹妹起得晚，不是麼？
This camera was made in Germany.	這個照相機是德國製造的。
We used to go to the movies on Saturday evening.	我們曾經總在星期六傍晚去看電影。
I'm sick and tired of hamburgers.	我吃膩了漢堡。
Everybody talks about the weather, but nobody does anything about it.	每個人都在談論天氣, 但是沒有人為它做任何事情。
I went to see the movies yesterday.	我昨天去看了電影。
There wasn't anyone in the room.	房間裡沒有人。
You can take today off.	你今天可以休假一天。
I think you know that's not true.	我認爲你知道那不是真的。
Does anyone want some more pie?	有人想要更多的餡餅嗎？
Tom wondered where Mary had learned French.	湯姆想知道瑪麗在哪裏學會了法語。
What time do you wake up every day?	你每天幾點起牀？
We know him.	我們認識他。
She gave away all her dresses.	她把她所有的洋裝都送人。
Can we talk in private?	我們能私下談談嗎？
A friend in need is a friend indeed.	在你有需要的時候，會幫你的朋友纔是真正的朋友。
Honesty is not always the best policy.	誠實不總是最好的策略。
My problem is I don't trust you.	我的問題是我不信任你。
The accident took place at that corner.	事故發生在轉角。
I'll scold him.	我會責備他。
Will you please explain the meaning of this sentence to me?	您能爲我解釋這句句子的意思嗎？
I didn't do anything during my vacation.	在假期中我什麼都沒有做。
I have no regrets about what I did.	我對我做過的事不後悔。
Have you ever thought of becoming a nurse?	你曾經想過當個護士嗎?
The bus stopped suddenly in the middle of the street.	公車突然在路中央停下來。
Her parents can't help worrying about her injuries.	她的父母不能不擔心她的傷勢。
It's an hour's walk to the station.	步行到車站要一小時。
I spilled my coffee on the carpet.	我把咖啡倒翻在地毯上了。
She left here in a hurry.	她匆忙地離開了這裡。
He is studying in the library now.	他現在在圖書館讀書。
It is true that she is pretty, but she is selfish.	她確實很漂亮，但她很自私。
Take it easy.	放輕鬆。
It's well done.	做得很好。
I wonder if he loves me.	我不知道他是否愛我。
I am a student, but he isn't.	我是個學生，但他不是。
I don't quite agree with you.	我不太同意你的看法。
I forgot to bring my I.D. card.	我忘了帶我的身份證。
You know that that's your duty.	你知道那是你的責任。
Stop criticizing me!	不要再批評我了！
Japan is located in the Northern Hemisphere.	日本位於北半球。
Would you like to go to the zoo this afternoon?	今天下午你想去動物園嗎?
I laughed.	我笑了。
Would you like me to help you?	你要我幫你嗎?
Are you a student of a private high school?	你在私立高中讀書嗎？
The car is ready.	汽車準備好了。
The bus stop is across the street.	公車站牌就在街對面。
Hey, I may have no money, but I still have my pride.	嗨，我可能沒錢，但我一直有我的驕傲。
I will give you a call as soon as I get home.	我一回到家就打電話給你。
It has been raining since Sunday.	從週日開始一直在下雨。
I'm buying a new car.	我在買一輛新車。
Mary can dance well.	瑪麗舞跳得很好。
I get up at six.	我六點起牀。
Does Tom have a job?	湯姆有工作嗎？
Didn't you hear her speaking French?	你沒聽到她說法語嗎？
Will the fine weather keep up till tomorrow?	好天氣能持續到明天嗎？
I like each of them.	我喜歡他們每一個。
I didn't meet anyone there.	我在那裡沒遇見任何人。
Where is the United Airlines check-in counter?	聯合航空公司辦理登機手續的櫃檯在哪裡？
This is old news to me.	這對我來說是舊聞了。
Tom is a bus driver.	湯姆是個公交車司機。
He carried a rifle on his shoulder.	他把步槍背在他的肩上。
His house is not far from here.	他家離這兒不遠。
She decided to quit her job.	她決定辭去工作。
I wish I could speak English.	但願我會講英語。
I suggest that we go out on Friday.	我建議我們星期五出去玩。
The Seine flows through Paris.	塞納河穿越了巴黎。
There were some boats on the lake.	湖上有一些船。
We saw the children enter the room.	我們看到了孩子們進入這個房間。
Tom is playing the violin now.	湯姆正在拉小提琴。
We guarantee our products for one year.	我們保證我們的產品一年。
Her father passed away last week.	她的父親上週去世了。
She took a bite of the apple.	她咬了一口蘋果。
Tom is the tallest in his class.	湯姆是班上最高的。
I don't anticipate a problem.	我沒料到會有問題。
What is it you want to know?	你想知道什麼？
Mary asked her son to behave himself.	瑪麗要求她的兒子守規矩。
He already knew about it.	他已經意識到它了。
I went for a walk in the park.	我去公園散了步。
What part of Canada are you from?	你來自加拿大的哪裡？
He gave me a nice Christmas present.	他給了我一個很棒的聖誕禮物。
I have no objection to your plan.	我不反對你的計劃。
Tom has been expecting Mary.	湯姆預計瑪莉會來。
Everyone deserves a second chance.	每個人都值得被給予第二次機會。
My grandfather died when I was boy.	當我是個小男孩的時候，我的祖父就過世了。
Tom's mother is a nurse at the hospital that's across the street from where Mary lives.	湯姆的媽媽是一名護士，她所在的醫院就在瑪麗住的那條街的對面。
It is just your imagination.	那只是你的想象。
I stay at home on Sundays.	我星期天在家。
I'm under so much pressure, I just want to cry.	我壓力好大，我真想哭。
She got her daughter a personal computer.	她給她的女兒買了一臺個人電腦。
I will badly miss you if you leave Japan.	如果你離開日本，我會非常想你的。
He'll be back by five o'clock.	他五點左右會回來。
I should clean my room.	我應該打掃我的房間。
Please show me another one.	請給我看看其他的。
My dad died before I was born.	我出生前，我父親就死了。
We elected her chairperson.	我們選她為主席。
Come on, trust me.	來吧，相信我。
I want some fresh eggs.	我想要一些新鮮的雞蛋。
I think that it's true.	我認為這是真的。
I like dogs and my sister likes cats.	我喜歡狗，我妹妹喜歡貓。
Can anyone answer my question?	有人可以回答我的問題嗎？
Do you belong to any clubs?	您隸屬哪傢俱樂部嗎？
I've always wondered what it'd be like to have siblings.	我總是想有兄弟姐妹會怎麼樣。
You have no fever.	你沒發燒。
I can't distinguish him from his brother.	我分不清他和他的弟弟。
You'll succeed if you try.	如果你嘗試的話，你會成功的。
You owe me an apology for that.	關於那件事你欠我一個道歉。
Which season do you like the best?	您最喜歡哪個季節？
Do what you think is right.	做你認為正確的事。
I like being on the team.	我喜歡在隊伍裏。
I have to take the book back to the library today.	我今天必須把書還給圖書館。
There was no money left in my wallet.	我錢包裏沒錢了。
Don't try to stop me.	別想阻止我。
I am learning two foreign languages.	我學兩種外語。
He's always been living in Tokyo.	他一直住在東京。
I'm from Singapore.	我是從新加坡來的。
I had lost a camera the previous day.	我前一天丟了一臺相機。
He is very afraid of his mother.	他非常怕他的母親。
Any student can answer that question.	任何學生都可以回答這個問題。
Be nice.	和氣點。
May I have something to drink?	我可以喝點東西嗎?
Yesterday was my seventeenth birthday.	昨天是我17歲生日。
I remember meeting you before.	我記得以前見到你。
I will play the guitar for you.	我會為你彈吉他。
I, too, have been to Boston many times.	我也去過波士頓很多次。
Tom likes to play baseball.	湯姆喜歡打棒球。
How beautiful!	多美啊！
He practiced every day at home.	他每天在家練習。
Can you skate?	你會溜冰嗎？
I couldn't make him understand it.	我無法讓他明白。
His concert was great.	他的演唱會很棒。
I have to paint it.	我必須把它漆上油漆。
I think you're really amazing.	我覺得你真是讓人大吃一驚。
I can't stand that noise any longer.	我不能再忍受那噪音了。
I believe you'll get over it soon.	我相信你很快就能復原。
I have just finished eating.	我剛剛吃完。
Einstein loved playing the violin.	愛因斯坦喜歡拉小提琴。
Allow me to go.	請允許我去。
Bring me the magazines.	把那本雜誌拿來給我。
Did you go out last night?	你昨天晚上出去了嗎？
How about eating out this evening?	今天晚上出去吃怎樣？
It can't be true.	那不可能是真的。
The old man got off the bus.	這位老人下了公車。
My legs are smaller than yours.	我的腿比你的小。
The cat is adorable.	這隻貓很可愛。
I'd like to make a reservation.	我要預約。
I'd love to come with you.	我想和你一起去。
They will arrive a week from today.	他們將於下個星期的今天抵達。
I want to sing a song.	我想唱個歌。
"Is he going to swim tomorrow?" "Yes, he is."	"他明天會去游泳嗎?" "是的, 他會。"
Do you guys want something to eat?	你們想要吃些什麼嗎？
I'd like to reserve a single room.	我想預訂一間單人房。
During the exam, Tom cheated off Mary.	在考試的時候，湯姆作弊抄了瑪麗的答案。
We've got to get you some help.	我們不得不給你一點幫助了
Compared to Tokyo, London is small.	和東京比，倫敦很小。
"Let's go," he said to me.	"咱們走吧，"他對我說。
How long will it stop there?	它將停在那裡多久?
He is a baseball player.	他是個棒球手。
I'm sorry to have disturbed you.	對不起打擾你了。
I'm so tired.	我好累。
Do you usually have tea for breakfast?	你經常早餐喝茶嗎？
I like to listen to the radio.	我喜歡聽廣播。
Fresh fruit is good for your health.	新鮮的水果對你的健康有益。
I like fish.	我喜歡魚。
It's really different from what I expected.	這真的跟我所預期的不同。
I like reading.	我喜歡閱讀。
Speaking English is a lot of fun.	說英語很有趣。
I bought a bottle of salad oil.	我買了一瓶沙拉油。
There was no one in the room besides Tom and Mary.	除了湯姆和瑪麗，房間裏沒有人。
See you tomorrow at the library.	明天圖書館見。
I have a stupid question.	我有一個愚蠢的問題。
It's warm today, isn't it?	今天很溫暖，不是嗎？
Let's walk.	我們走走吧。
It's all your fault.	都是你的錯。
It's very difficult.	這很難。
I don't see much of him.	我不常見到他。
We use a lot of water every day.	我們每天用很多的水。
The wind is cold today.	今天刮冷風。
Weeds sprang up in the garden.	花園裡雜草叢生。
Straighten up.	改邪歸正。
Not knowing what to do, I asked the teacher for advice.	因爲不知道做什麼，所以我向老師尋求建議。
Was I wrong?	我錯了嗎？
Almost all the work is done now.	幾乎所有的工作都完成了。
I go to church on Sunday.	週日我去做禮拜。
I quit.	我退出。
I'll show you my room.	我會帶你看看我的房間。
I kind of lost my focus.	我有點不能集中注意力。
I picked up a pretty shell at the seaside.	我在海邊撿了個漂亮貝殼。
Her older daughter is married.	她的大女兒結婚了。
Make yourself at home.	就當在家一樣。
How long will you stay in Hakone?	你將在箱根待多久？
I like to eat apples.	我喜歡吃蘋果。
The Cold War ended when the Soviet Union collapsed.	冷戰以蘇聯解體結束。
You look pale. You had better lie down in bed at once.	你看上去很蒼白。你最好立刻去牀上躺會兒。
It's almost six o'clock.	差不多六點了。
Which way is the beach?	去海灘走哪條路？
Thanks for coming over tonight.	謝謝您今晚的光臨。
I think I'm going to cry.	我想我要哭了。
Tom likes chocolate cake a lot.	湯姆很喜歡巧克力蛋糕。
We've got to do something about this problem soon.	我們要快點處理這問題。
He bent over backward to please his wife.	他竭盡全力地討好他老婆。
Is she a computer programmer?	她是個程序媛嗎？
Shouldn't you be studying?	你不應該在學習嗎？
What do you say we go skiing?	我們去滑雪怎麼樣？
This makes me very angry.	這讓我很生氣。
Tom is unbelievably stupid.	湯姆傻得難以置信。
He wrote the report.	他寫了這份報告。
Could you take me to a movie?	你帶我去看電影好嗎？
We had a heavy rain yesterday.	昨天下大雨。
What did Tom expect Mary to do?	湯姆打算讓瑪麗做什麼？
Tom is looking for a job.	Tom正在找工作。
The big tree was struck by lightning.	這棵大樹遭到雷擊。
Tom is out of his mind.	湯姆失去理智了。
This blue sweater is very pretty.	這件藍色毛衣很漂亮。
I don't want to lose you again.	我不想再失去你。
This sentence doesn't make sense.	這句話沒意思。
The value of the painting was estimated at several million dollars.	這幅畫被估價數百萬元。
Tom watches too much television.	湯姆電視看太多了。
Please call the police.	叫警察。
My father got home late last night.	我父親昨晚很晚纔回家。
Animals cannot exist without air and water.	動物離不開空氣和水。
You're a good cook.	你是個好廚師。
Doesn't Tom have any friends?	湯姆沒有朋友嗎？
He's used to speaking in public.	他習慣在公眾場合說話。
He dipped his spoon into the soup.	他把他的湯匙浸入湯裡。
Sorry, I don't have any money.	抱歉，我沒錢。
I hear that you play the piano.	我聽說你彈鋼琴。
She asked me a question.	她問了我一個問題。
Tom changed into his uniform.	湯姆換上制服。
Stop joking around.	不要隨便開玩笑。
You shouldn't have done it.	你不應該做的。
I'm very happy.	我很快樂。
My camera is different from yours.	我的相機跟你的不同。
Those trains run every three minutes.	這些火車每三分鐘發車。
She married a rich old man.	她嫁給了一個富有的老男人。
She was asked to convince him to paint the house.	她被要求說服他油漆房子。
Kindness is the language which the deaf can hear and the blind can see.	善良是聾子能聽盲人能看的語言。
Some people relax by reading.	一些人通過閱讀來放鬆。
Her hair is long and beautiful.	她的頭髮長而美麗。
Don't move.	不要動。
Tom loves you.	湯姆愛你。
He may come and see us tonight.	他今天晚上可能來看我們。
She assigned him to the job.	她指派他做這個工作。
She told him that she believed in astrology.	她告訴了他自己相信占星術。
Water freezes at zero degrees Celsius.	水在攝氏零度時結冰。
What is the matter with you?	你到底怎麼回事嘛
He tried to concentrate on the letter.	他試圖把注意力集中在信上。
I talked to Tom last night.	昨晚我和湯姆說話了。
These are called shoes.	這些叫鞋子。
I like to ride on trains.	我喜歡乘坐火車。
Do you want to know what I see?	你想知道我看見什麼了嗎？
I've come here to study Chinese.	我是來學中文的。
Will you send for a doctor?	你會派人去請醫生來嗎?
She held her baby in her arms.	她把她的孩子抱在懷裡。
I thought the questions were easy.	我認為這些問題很容易。
I think we should talk about this now.	我認爲我們現在就該談談這個。
You can't do anything about that.	你什麼也做不了。
Which book are you reading?	你在讀哪本書？
He caught them stealing apples.	他抓到了他們在偷蘋果。
I have a feeling he is right.	我覺得他是對的。
I was calm until I saw the syringe.	看到針管兒之前我一直都很淡定。
Will I be the only one going to the party?	會不會只有我一個人去聚會？
Do you meet him often?	你常常跟他見面嗎？
It looks like Tom won the race.	看起來像是湯姆贏得了比賽。
I hear my uncle died of cancer.	我聽到我叔叔死於癌症的消息。
I'm open to suggestions.	我願意接受建議。
Pick up the pencil from the floor.	從地上撿起這支鉛筆。
The strike affected the nation's economy.	罷工影響了國家經濟。
There are some books on the desk.	書桌上有幾本書。
He has been dead for three years.	他去世三年了。
Can you translate English into Japanese?	你可以把英文翻譯成日語嗎？
If only I could speak English!	我要是會說英語就好了。
Taking off is easier than landing.	起飛比降落容易。
Tom wants a glass of water.	湯姆想要一杯水。
One good friend is better than ten relatives.	一個好友勝過十個親戚。
The door is locked at nine o'clock.	九點鐘鎖門。
All our teachers were young and loved teaching.	我們所有的老師都很年輕並且喜愛教學。
He built an observatory to study the stars.	為了觀測星象，他建了一座瞭望臺。
I understand the concept.	我明白這概念。
I don't know what I'm going to do next.	我不知道下一步做什麼。
He took me to the park yesterday.	昨天他帶我去公園。
I couldn't have done it without you. Thank you.	沒有你我無法做到，謝謝。
Tom should've discussed that with you.	湯姆應該跟你討論過那事了。
I thought you said something.	我覺得你說了什麼。
How old do you think she is?	你認爲她多大？
I agree with what you say to some extent.	在某種程度上，我認同你所說的。
You needn't have taken an umbrella with you.	你其實沒必要帶傘。
She is going to Chiba Stadium.	她將去千葉球場。
They say love is blind.	人們說愛情是盲目的。
Can you speak either Chinese or Russian?	你會講中文或俄語嗎？
After I cleaned the window, I could see through it clearly.	清潔窗戶後，我能很清楚的從窗戶看出去。
The cab driver wasn't seriously injured.	出租車司機沒有受重傷。
What else do you want me to say?	你想讓我再說什麼？
We all wondered why she had dumped such a nice man.	我們都想知道她為什麼甩了這麼好的一個男人。
What do you think should be done about it?	你覺得對此該做什麼？
Don't underestimate my power.	不要低估我的力量。
She told me she knew my brother.	她告訴我她認識我的哥哥。
There was not a tree in sight.	看不到任何一棵樹。
He is to blame for the failure.	失敗的責任在他。
I am at home.	我在家。
Spell your name, please.	請拼一下您的名字。
What nonsense are you talking now?	你胡說什麼呢？
How do you know?	我怎麼知道？
Tom is always daydreaming.	Tom總是在做白日夢。
I played tennis after school.	放學後我打了網球。
I can't hear very well.	我聽不太清楚。
Would you like some cream in your coffee?	你要在咖啡上加些奶油嗎？
Where can I catch a bus?	我可以在哪裡搭公車？
Please close the door.	請關門。
I am a good boy.	我是一個好男孩。
You'd better wait for the next bus.	你最好等下一班公車。
He played tennis.	他打了網球。
At last, it began to rain.	終於開始下雨了。
Wait here till he comes back.	在這兒等到他回來爲止。
If it rains tomorrow, I'll just stay at home.	如果明天下雨，我就待在家。
He wrote a letter.	他寫了一封信。
Are you angry?	你生氣了嗎？
I have been busy writing a short story.	我一直忙於寫一部短篇小說。
Do you drink a lot of milk?	你喝很多牛奶嗎？
I got this bicycle for free.	我免費得到了這輛自行車。
Is it true that Tom wants to paint his house green?	湯姆想把房子漆成綠色，是真的嗎？
Please make three copies of each page.	請把每一頁複印三份。
The audience was very large.	觀衆人數龐大。
He drives a car, doesn't he?	他開車，不是嗎？
Just pull the door shut. It'll lock by itself.	只要推門就好了。它自己會鎖上的。
I asked him to go there tomorrow.	我要求他明天去那裡。
Please think about the problem.	請想想這個問題。
The Hilton Hotel, please.	請開到希爾頓酒店。
My father insisted that I should go to see the place.	我爸爸堅持要我去那地方看看。
Father takes the 7:00 subway to work.	爸爸乘早上7點的地鐵去上班。
What did you name your son?	你給你兒子起什麼名字？
It is going to snow.	要下雪了。
Who are you looking for, Tom?	你在找誰，湯姆？
How lovely!	多可愛啊！
We had bad weather yesterday.	昨天天氣很糟。
Tom may be able to come tomorrow.	湯姆可能能在明天來。
I'll make you happy.	我會讓你幸福的。
Trust me.	相信我。
They have been married for ten years.	他們已經結婚十年了。
We went to the mountains to ski.	我們去山上滑雪。
They are trying to keep costs down.	他們正努力降低成本。
Japanese history is my favorite subject.	日本歷史是我最喜歡的科目。
I like tea.	我喜歡茶。
Would you like to go?	你想去嗎？
A ring and some cash are missing.	少了一個戒指和一點現金。
I asked Tom about his new book.	我問了湯姆關於他的新書的事。
I don't think he can help you.	我覺得他不能幫你。
Would you mind my opening the door?	你介意我開門嗎?
I will go there even if it rains.	即使下雨我也會去那裡。
You'd better consult the doctor.	您最好請教一下醫生。
They moved here two years ago.	他們兩年前搬到了這裡。
I can't drink milk.	我不能喝牛奶。
I do not fear death.	我不怕死。
His explanation really isn't clear.	他的說明並不清楚。
I did nothing during the holidays.	在假期中我無所事事。
A dolphin is a kind of mammal.	海豚是一種哺乳動物。
Where are you planning to spend the night?	你打算去哪兒過夜？
Foreign investors withdrew their money from America.	外國投資者從美國收回他們的錢。
I hope we stay in touch.	我希望我們能保持聯繫。
Who organized that meeting?	誰組織了這次會議？
That's not what I told Tom.	那不是我對湯姆說的。
My boyfriend is a journalist.	我男朋友是個記者。
Come to my house whenever you like.	只要你喜歡，你隨時可以來我家。
I didn't know that he was Japanese.	我不知道他是日本人。
His voice is pleasant to listen to.	他的聲音很悅耳。
Clothes make the man.	人要衣裝。
She can't ride a bicycle yet.	她還不會騎腳踏車。
The watch on the desk is mine.	桌上的手錶是我的。
Is this the bus for Park Ridge?	這是去帕克裏奇的巴士？
She was always quarreling with her brothers.	她一直和她的兄弟爭吵。
This is the man who's suspected by the police.	這是被警察認爲有嫌疑的男子。
The visitor sat across from me.	訪客坐在我的對面。
Their goods are of the highest quality.	他們的貨品有着最高的品質。
It's very big.	它很大。
He lives in the suburbs of Tokyo.	他住在東京郊區。
I'm sure that he'll succeed.	我相信他會成功。
You can swim, can't you?	你會游泳, 不是嗎？
Many schools are closed today because of the storm.	今天許多學校因爲風暴停課。
I like spring better than fall.	我喜歡春天勝過秋天。
This TV program seems to be very entertaining.	這個電視節目看起來很好玩。
I paid two thousand yen for the book.	我用兩千日元買了這本書。
How're you doing?	你們好嗎？
It wasn't clear what she meant.	不清楚她是什麼意思。
He failed to follow our advice.	他沒有遵循我們的忠告。
Put the book where you found it.	把書放在你找到的地方。
I still can't speak French.	我還是不會說法語。
Everything seems OK.	一切看上去正常。
He is not very good at mathematics.	他不是很擅長數學。
I would very much like to go.	我非常想離開。
English is not spoken here.	這裡的人不說英語。
She stayed at home by herself.	她獨自留在家裡。
A cat came out from under the desk.	一隻貓從桌底下出來。
He said hello to the woman.	他向那位女士問好。
He had no luck in finding work.	他找工作不走運。
He would not agree to our proposal.	他不同意我們的建議。
She had my mother take care of the baby.	她讓我母親照顧孩子。
You're Tom's friend, aren't you?	你是湯姆的朋友，不是嗎？
Let's play baseball!	讓我們來打棒球吧！
You're not as smart as me.	你沒有我聰明。
I am sorry to trouble you.	我很抱歉給你添麻煩了。
Have you finished doing your homework yet?	你做完回家作業了嗎?
She went to the park with him.	她跟他去公園了。
It is especially hot today.	今天特別熱。
I am a teacher.	我是個老師。
She is not accustomed to driving for a long time.	她不習慣長時間駕車。
He will be very busy next month.	下個月他會很忙。
I hid under the table.	我藏在桌子底下。
Mathematics is my favorite subject.	數學是我最喜歡的科目。
I cannot speak Mandarin well.	我的中文說得不好。
You're so beautiful!	你太漂亮了！
I think this book is worth reading.	我覺得這本書值得一讀。
What he said really hurt me.	他說的話真的傷害了我。
She sometimes gets depressed.	她偶爾有憂鬱的心情。
It is our duty to obey the law.	遵守法律是我們的義務。
Will you tell me how to get to Shinjuku?	請問你可以告訴我如何可以到達新宿嗎？
This medicine will make you feel better.	這藥會讓你好受點。
The universe is limitless.	宇宙浩瀚無邊。
I don't want to go to school.	我不想去學校。
How much is that mountain bike?	那輛山地車多少錢？
A drunken man was sleeping on the bench.	一個醉了的男人在長椅上睡覺。
Tom studies at Harvard.	湯姆在哈佛學習。
We have two examinations during this term.	這個學期我們有兩次考試。
Tell her that I am watching the news.	跟她說我正在看新聞。
She was often late for school.	她經常上學遲到。
He bought his daughter a new dress.	他買了新衣服給他的女兒。
Have you ever loved a man?	你曾經愛過一個男人嗎？
I bought this yesterday.	昨天我買了這個。
If anything should happen, please let me know.	如果發生了什麼，請讓我知道。
I want to stay in a hotel near the airport.	我想住在機場附近的旅館裡。
She is wearing a hat.	她戴著一頂帽子。
I was sore for three weeks.	我難受三週了。
We can see Mt. Fuji clearly today.	今天我們可以清楚地看到富士山。
It rained yesterday.	昨天下雨了。
Here's something very important.	這裡有些非常重要的東西。
What kind of person is she?	她是怎樣的人呢？
She always dresses in black.	她總是穿著黑色的衣服。
Will he be able to catch the train?	他能趕上火車嗎？
He isn't my brother. He's my cousin.	他不是我的兄弟。他是我的表弟。
He is likely to win the game.	他有可能贏得比賽。
A slip of the tongue is sometimes fatal to a politician.	有時候口誤對政治家來說是致命的。
We invited him to our house.	我們邀請了他到我們家。
You have to leave.	你們得走了。
He threw a stone at the dog.	他朝着狗扔了塊石頭。
Your brother got married, didn't he?	你哥哥結婚了，不是嗎？
I have a slight fever today.	我今天有點發燒。
Tom has gained weight.	湯姆變胖了。
My notebook is pink.	我的筆記本是粉色的。
My grandmother made me a new dress.	我的祖母做了一套新衣服給我。
She raised her voice.	她提高了她的嗓音。
He has made a fortune through hard work.	他通過努力掙了大筆錢。
Could I have the bill, please?	請把帳單給我好嗎？
Please leave everything to me.	請把所有的東西留給我。
It appears that he is mistaken.	看來他搞錯了。
Tom refused to answer any questions.	湯姆拒絕回答任何問題。
This is my business address.	這是我的公司地址。
Are you crying?	你在哭嗎？
I'm looking for my keys. Have you seen them?	我正在找鑰匙，你看見了嗎？
I really want to see you.	好想見到你
Tom knows what we're doing.	湯姆知道我們在做什麼。
You look very happy this morning.	你今天上午看起來很高興。
Why is he hiding?	他爲什麼在躲藏？
I want you to tell me the truth.	我想你把真相告訴我。
Open the door, please.	請開門。
We had a lecture on environmental pollution.	我們有一節關於環境污染的講座。
Tom won't be coming.	湯姆不會來了。
I have to take my medicine every six hours.	我每六小時要服一次藥。
He was admitted without taking the exam.	他承認沒有參加考試。
You should ask your father for his advice and follow it.	你應該問你父親的忠告並遵守它。
You will soon get used to eating Japanese food.	你很快就會習慣吃日本料理了。
What are you concerned about?	你在擔心什麼呢？
Tom can't swim.	湯姆不會游泳。
How long did it take you to write this report?	你寫這份報告花了多長時間？
He gave me food and money as well.	他給了我食物和錢。
Lunch is on.	午餐送到了。
He is a screwball.	他是一個怪人。
He is an old friend of mine.	他是我的一位老朋友。
I didn't sleep a wink last night.	我昨晚一夜沒闔眼。
What did he say?	他說了什麼？
In case of emergency, call 119.	在緊急情況下，可撥打 119。
You'd better take it easy.	你最好放鬆。
It is hard to maintain one's reputation.	維持一個人的聲譽是很難的。
Do you have a lot of time to relax?	你有很多休閒時間嗎？
I feel cold.	我覺得冷。
The only difference between a bad cook and a poisoner is the intent.	一個差勁的廚師和下毒者唯一的不同在於他們的意圖。
No more, thank you. I'm full.	不，謝謝，我飽了。
I never thought we'd end up like this.	我沒有想到我們會這樣分手。
Tom is buying some flowers for Mary.	湯姆在給瑪麗買花。
This tape recorder is not new.	這個磁帶錄音機不是新的。
You should read many books when you are young.	應該趁年輕多讀點書。
Where is the problem?	哪裡有問題?
You're working too hard. Take it easy for a while.	你工作太勤奮了。休息一會吧。
I aimed my gun at the target.	我把我的手槍指向了目標。
Sooner or later, we'll know the truth.	我們遲早會知道真相。
The information you gave me is of little use.	你給我的資料沒有多大的用處。
He is hard to get along with.	他這個人很難相處。
We have many goals.	我們有許多目標。
The sky is clear.	天空很晴朗。
There's a soccer match tomorrow.	明天有一場足球比賽。
Why worry about it?	為什麼要擔心？
An argument may be logically sound without being true.	不正確的命題聽起來可能符合邏輯。
I want to be a computer programmer.	我想做一個程序員。
Thank you for everything.	爲一切感謝你。
Divide the pizza in three.	把披薩分成三份。
You have to study hard to catch up with your class.	你必須用功讀書趕上同學。
Long time, no see.	好久不見。
